60,229
15,221
62,59
96,120
16,97
41,290
52,206
78,220
29,176
25,138
57,252
63,204
94,130
55,109
98,255
8,294
69,68
76,242
3,202
64,247
31,157
62,293
28,225
65,102
58,183
1,273
36,81
90,63
97,180
41,179
15,223
43,103
91,103
9,219
87,300
96,127
27,210
18,258
94,98
24,225
75,291
47,212
58,226
0,171
46,127
69,152
60,163
87,296
42,170
98,175
26,264
60,157
84,148
17,286
52,232
42,213
23,160
77,263
6,215
68,286
81,213
8,59
5,71
55,116
52,265
92,180
86,101
53,146
59,258
22,236
7,285
56,89
0,212
7,214
57,59
28,240
93,102
80,162
56,112
35,269
2,145
35,104
88,253
54,224
