81,232
31,296
67,55
94,83
89,242
9,208
41,256
66,169
89,260
93,270
99,232
100,83
62,77
21,258
53,177
27,161
50,278
11,244
32,140
71,226
92,112
58,261
44,275
41,128
8,54
70,277
46,121
95,259
46,245
33,287
35,93
60,283
34,267
80,251
91,69
53,141
5,287
19,98
33,276
25,50
98,100
72,94
18,156
14,177
34,142
79,172
43,168
82,295
30,257
45,278
29,86
47,180
29,205
48,72
34,56
1,236
19,175
16,81
51,276
73,208
26,162
56,135
87,200
6,129
2,124
7,156
58,274
84,259
2,127
49,54
35,286
53,231
70,124
34,275
2,256
34,253
66,105
47,285
49,54
51,211
23,144
4,149
68,244
14,156
42,295
73,77
52,192
100,213
44,169
56,286
34,65
87,63
93,188
13,196
38,109
5,208
100,194
11,248
48,254
61,63
53,89
72,298
48,199
65,196
85,281
16,98
62,156
10,100
34,114
96,155
42,300
14,95
22,218
33,153
22,69
14,153
36,84
53,196
18,140
19,226
23,123
0,253
90,79
7,67
53,298
72,111
34,143
