44,291
100,82
41,114
45,108
59,267
8,75
44,269
83,111
15,115
23,184
51,93
30,170
13,271
76,267
93,193
56,65
16,112
41,117
66,158
53,100
12,177
56,216
1,204
18,269
61,110
75,236
42,111
71,133
98,157
54,218
10,160
74,64
20,135
68,180
84,153
55,277
23,196
20,180
4,173
87,94
99,235
59,151
17,55
70,155
74,234
5,235
66,155
1,173
5,186
80,241
28,185
64,290
44,225
76,208
31,84
37,189
80,281
83,248
28,299
74,92
68,206
15,87
65,222
79,292
59,300
37,77
6,278
95,121
49,76
43,255
80,76
27,203
96,87
44,133
40,282
24,157
53,122
11,115
56,259
1,92
25,187
3,105
3,204
85,240
4,242
78,187
16,168
26,165
23,98
99,192
39,66
83,163
92,157
14,151
58,108
53,106
30,211
10,175
16,232
51,206
34,97
91,273
76,149
81,146
