90,298
9,102
56,189
99,146
20,233
92,284
81,154
84,77
65,132
31,257
39,224
96,111
18,121
94,169
73,66
6,293
51,76
100,220
86,77
3,74
19,294
40,144
32,164
20,261
60,222
95,123
64,198
45,192
73,74
59,130
25,84
47,59
9,263
11,105
33,64
4,178
25,241
57,98
41,247
63,86
0,191
53,112
13,86
36,273
58,53
95,186
2,267
69,189
39,166
97,175
83,124
85,90
25,153
59,109
46,234
23,134
11,53
9,99
33,232
28,146
35,153
57,68
13,240
87,52
47,107
89,63
39,164
13,72
1,162
58,56
30,152
71,50
23,212
79,108
17,114
62,94
3,57
18,135
28,249
23,209
93,259
63,165
49,257
51,76
95,262
70,181
86,163
4,278
57,212
65,60
84,83
